evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 9:00:00 AM,2/24/2026 4:00:00 AM,2/24/2026 10:00:00 AM,2/24/2026 5:00:00 AM,RTO_COMBINED,106375
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 10:00:00 AM,2/24/2026 5:00:00 AM,2/24/2026 11:00:00 AM,2/24/2026 6:00:00 AM,RTO_COMBINED,111598
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 11:00:00 AM,2/24/2026 6:00:00 AM,2/24/2026 12:00:00 PM,2/24/2026 7:00:00 AM,RTO_COMBINED,119106
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 12:00:00 PM,2/24/2026 7:00:00 AM,2/24/2026 1:00:00 PM,2/24/2026 8:00:00 AM,RTO_COMBINED,123727
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 1:00:00 PM,2/24/2026 8:00:00 AM,2/24/2026 2:00:00 PM,2/24/2026 9:00:00 AM,RTO_COMBINED,122613
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 2:00:00 PM,2/24/2026 9:00:00 AM,2/24/2026 3:00:00 PM,2/24/2026 10:00:00 AM,RTO_COMBINED,118761
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 3:00:00 PM,2/24/2026 10:00:00 AM,2/24/2026 4:00:00 PM,2/24/2026 11:00:00 AM,RTO_COMBINED,115148
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 4:00:00 PM,2/24/2026 11:00:00 AM,2/24/2026 5:00:00 PM,2/24/2026 12:00:00 PM,RTO_COMBINED,111954
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 5:00:00 PM,2/24/2026 12:00:00 PM,2/24/2026 6:00:00 PM,2/24/2026 1:00:00 PM,RTO_COMBINED,109343
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 6:00:00 PM,2/24/2026 1:00:00 PM,2/24/2026 7:00:00 PM,2/24/2026 2:00:00 PM,RTO_COMBINED,107521
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 7:00:00 PM,2/24/2026 2:00:00 PM,2/24/2026 8:00:00 PM,2/24/2026 3:00:00 PM,RTO_COMBINED,106181
